,Corriente L1,Corriente L2,Corriente L3,Flujo Descarga,T° Desc Bba. LL,T° Desc Bba. LA,T° Desc Mot. LL,T° Desc Mot. LL.1,Prox. Bba. LLX,Prox. Bba. LLY,Prox. Bba. LAX,Prox. Bba. LAY,Prox. Mot. LAX,Prox. Mot. LAY,Prox. Mot LLX,Prox. Mot. LLY
2018-11-28 01:25:15.000009600,271.35,275.67,274.15,959.5672517124352,49.84,57.3667777769139,69.0,73.0,24.03,9.365000000209548,39.73000000335276,19.002499992561056,13.5,8.997453682768484,30.056759232614432,12.166527749229749
2018-11-28 01:26:24.999993600,271.35,275.67,274.15,955.4827711842291,49.85503421965912,57.39986312152061,69.0,73.0,23.625833290140346,9.19666664707397,39.99916666978368,19.024166725890048,13.6771141453472,8.505378183671123,30.053441239425457,11.828788739169887
2018-11-28 01:26:35.000016000,271.35,280.91,274.15,952.9487887281421,49.85755032172901,57.38979871316146,69.0,73.0,23.4641666996966,9.123333348315985,40.01083333094973,19.245833288044867,13.464922865752396,8.90082556837054,29.57118833125544,12.475007636117708
2018-11-28 01:26:45.000038400,276.4,280.91,274.15,964.2891148331,49.85796293081626,57.37973429531194,69.0,73.0,23.302499956807008,9.049999980407303,40.02250000311702,19.467500059223376,13.947268317601605,8.94236099056096,30.362106356912996,12.168981465408129
2018-11-28 01:26:54.999974400,271.06,275.21,274.15,950.9982254898008,49.78080247018752,57.369669886952806,69.0,73.0,23.140833366363267,8.976666681649315,40.034166664283056,19.6891666213782,13.465015438672015,8.65300926320321,30.063109571976646,12.130401235093762
2018-11-28 01:27:04.999996800,276.08,280.91,274.15,959.9084228475951,49.85980486006898,57.35996088790191,69.0,73.0,23.08166664305764,8.90916670026413,39.9725000735512,19.648333498596532,13.683024668830251,8.908298623782983,29.15553985875548,12.035084913150836
2018-11-28 01:59:15.000000000,276.08,280.91,273.42,951.8937865293088,49.7099285708851,57.32744565207649,69.0,73.0,22.93999999937136,8.807499992534865,40.17000000502914,18.21999999308493,13.46854165682644,8.78187499783995,28.81270833021326,11.922083319413012
2018-11-28 01:59:25.000022400,271.05,275.88,273.42,937.0161460543709,49.71984920245318,57.32996175429791,69.0,73.0,22.95333332921223,8.965833284395238,40.06333336630215,18.366666621334534,13.86398904240822,8.868680521504244,28.93809408661724,12.481496694138459
2018-11-28 01:59:34.999958400,271.05,275.88,268.23,910.9029028727267,49.70513284870604,57.332477858575594,68.96682084622415,73.0,22.966666669949575,9.12416670565125,39.95666664040337,18.51333336944537,13.813317915377583,8.824313289990862,28.95511563466812,12.872700586169316
2018-11-28 01:59:44.999980800,266.02,270.53,268.23,895.8710792358147,49.69003623521829,57.33499396079701,68.00231502773201,73.0,22.97999999979045,9.28249999751162,39.85000000167638,18.65999999769497,13.9097684972268,8.94969904639484,28.231736270799008,12.660509306101043
