Tiempo,Corriente,T° Retorno,T° socket Linner,T° Excéntrica,T° Alimentación,T° Desc. C. Eje,Salto Anillo A,Salto Anillo B,Salto Anillo C,Salto Anillo D,Nivel Taza,Setting,Pesómetro
2018-12-14 01:30:00,61.41159439086914,39.35879135131836,34.67328262329102,40.0,33.72422027587891,36.23271942138672,8.765625,22.626953125,6.74609375,5.0,0.008409391157329,37.0,2415.875244140625
2018-12-14 01:40:00,55.74633407592773,39.32890701293945,34.95596313476562,40.0,35.1220703125,35.98867416381836,8.8359375,22.529296875,6.662109375,5.0,0.0076065696775913,37.0,2364.95166015625
2018-12-14 01:50:00,58.77670288085938,41.7626953125,37.02429962158203,40.0,38.12363433837891,37.03125381469727,9.525390625,23.2890625,6.85546875,5.0,0.0078517375513911,37.0,2370.65380859375
2018-12-14 02:00:00,61.78461456298828,42.99453353881836,38.38313293457031,40.0,39.46504211425781,38.03730773925781,9.439453125,22.931640625,7.111328125,5.0,0.0079337982460856,37.0,2330.6484375
2018-12-14 02:10:00,60.69046401977539,43.75156402587891,39.2178840637207,40.0,40.14902496337891,38.80097961425781,9.380859375,22.677734375,7.19140625,5.0,4.992962837219238,37.0,2353.310546875
2018-12-14 02:20:00,61.7859001159668,44.40898895263672,39.74196243286133,40.0,40.63213348388672,39.48164367675781,9.427734375,22.796875,7.525390625,5.0,17.47900009155273,37.0,2460.26171875
2018-12-14 02:30:00,61.31076431274414,44.75761795043945,40.16878509521484,40.0,40.8662109375,39.92324447631836,9.1796875,22.390625,7.154296875,5.0,2.656249523162842,37.0,2398.422607421875
2018-12-14 02:40:00,70.20549011230469,43.03105545043945,38.65881729125977,40.0,36.99472808837891,39.54140853881836,9.59765625,22.45703125,7.166015625,5.0,0.0073263635858893,37.0,2420.6923828125
2018-12-14 02:50:00,69.0120620727539,41.16172027587891,37.11386108398438,40.0,35.06894683837891,38.37929916381836,9.140625,22.146484375,7.36328125,5.0,0.0073242196813225,37.0,2417.35888671875
2018-12-14 03:00:00,68.31712341308594,40.23203277587891,36.21963500976562,40.0,34.14921951293945,37.53593826293945,9.001953125,22.958984375,7.25390625,5.0,0.0073249945417046,37.0,2399.3740234375
2018-12-14 03:10:00,63.71967315673828,39.7041015625,35.28902816772461,40.0,33.69101715087891,36.77060699462891,9.13671875,22.541015625,6.962890625,5.0,0.0079983277246356,37.0,2384.960205078125
2018-12-14 03:20:00,60.6513786315918,39.22929763793945,34.84121322631836,40.0,33.27265930175781,36.25429916381836,8.962890625,22.541015625,6.697265625,5.0,0.0073242196813225,37.0,2389.691162109375
2018-12-14 03:30:00,59.84416198730469,40.70684051513672,36.12937545776367,40.0,36.72578430175781,36.39375305175781,9.064453125,22.05078125,7.328125,5.0,0.0073242196813225,37.0,2409.6201171875
2018-12-14 03:40:00,56.04306411743164,42.22090148925781,37.47771072387695,40.0,38.41914367675781,37.2802734375,8.81640625,21.205078125,6.9375,5.0,0.0073242196813225,37.0,2375.245361328125
